

p01;    0,09

p02;    0,08

p03;    0,08

p04;    0,12

p05;    0,08

p06;    0,26

p07;    0,35

p08;    0,42

p09;    0,97

p10;    2,49

p11;   12,08

p12;    2,46

p13;    4,28

p15;    1,93
p03;0,327000
p03;0.298
